job_name,job_description,academic_requirements,opening_date,closing_date
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Associate Degree,2025-01-18,2025-03-20
Mechanic,"Looking for a skilled mechanic to inspect, repair, and maintain vehicles. Hands-on experience with vehicle diagnostics and repairs is mandatory.",Bachelor's Degree,2025-01-18,2025-03-01
Electrician,"We are hiring an electrician to install, maintain, and repair electrical systems in residential, commercial, and industrial settings. A valid electrician's license is required.",PhD,2025-01-18,2025-06-05
Sales manager,"We need a dynamic sales manager to lead our sales team, set sales goals, and build strong relationships with clients. Experience in sales and excellent leadership skills are a must.",High School,2025-01-18,2025-03-03
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Bachelor's Degree,2025-01-18,2025-03-31
It support specialist,Perform tasks and responsibilities relevant to this profession.,Associate Degree,2025-01-18,2025-04-05
Research scientist,"We need a research scientist to conduct experiments, analyze data, and contribute to scientific publications. A PhD in a relevant field and research experience are required.",PhD,2025-01-18,2025-04-17
Electrician,"We are hiring an electrician to install, maintain, and repair electrical systems in residential, commercial, and industrial settings. A valid electrician's license is required.",PhD,2025-01-18,2025-04-02
Marketing specialist,"Seeking a marketing specialist to plan and execute campaigns, analyze market trends, and drive brand growth. Strong communication and analytical skills are essential.",Associate Degree,2025-01-18,2025-04-23
Customer service representative,"We are hiring a customer service representative to assist clients, handle inquiries, and resolve issues. Strong communication skills and a friendly demeanor are essential.",Bachelor's Degree,2025-01-18,2025-05-23
Architect,"Looking for an architect to design, plan, and oversee construction of buildings and structures. A degree in architecture and knowledge of building codes are required.",Master's Degree,2025-01-18,2025-05-14
Nanny,"Hiring a professional nanny to care for children, provide educational activities, and ensure their safety. Experience with children and a background check are required.",High School,2025-01-18,2025-05-21
Web developer,"Looking for a web developer to design and implement websites and web applications. Proficiency in HTML, CSS, JavaScript, and other web development technologies is required.",PhD,2025-01-18,2025-03-02
Civil engineer,"We are hiring a civil engineer to design and oversee construction projects such as buildings, roads, and bridges. Experience with CAD software and knowledge of safety regulations are required.",Associate Degree,2025-01-18,2025-05-27
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",High School,2025-01-18,2025-04-02
Social media manager,"Seeking a social media manager to create and implement social media strategies, engage with followers, and track performance. Experience with social media platforms and marketing is required.",Associate Degree,2025-01-18,2025-05-28
Marketing specialist,"Seeking a marketing specialist to plan and execute campaigns, analyze market trends, and drive brand growth. Strong communication and analytical skills are essential.",PhD,2025-01-18,2025-03-29
Financial analyst,"Looking for a financial analyst to assess financial data, prepare reports, and help guide business decisions. Strong analytical and Excel skills are required.",Associate Degree,2025-01-18,2025-05-06
Marketing specialist,"Seeking a marketing specialist to plan and execute campaigns, analyze market trends, and drive brand growth. Strong communication and analytical skills are essential.",PhD,2025-01-18,2025-03-08
Marketing specialist,"Seeking a marketing specialist to plan and execute campaigns, analyze market trends, and drive brand growth. Strong communication and analytical skills are essential.",Master's Degree,2025-01-18,2025-03-23
Business analyst,"Looking for a business analyst to analyze company operations, identify inefficiencies, and propose improvements. Experience with data analysis and project management tools is required.",PhD,2025-01-18,2025-05-11
